itemID,item,item_type,category,choices,definition,uni_lemma,gloss,complexity_category
item_1,au,word,sounds,understands; produces,au/ai (pijn),ouch,ouch,
item_54,rups,word,animals,understands; produces,rups,,caterpillar,
item_55,schaap,word,animals,understands; produces,schaap,,scheep,
item_56,schildpad,word,animals,understands; produces,schildpad,turtle,turtle,
item_57,slang,word,animals,understands; produces,slang,,snake,
item_58,spin,word,animals,understands; produces,spin,spider,spider,
item_59,teddybeer,word,animals,understands; produces,teddybeer,teddybear,teddybear,
item_60,tijger,word,animals,understands; produces,tijger,tiger,tiger,
item_61,uil,word,animals,understands; produces,uil,owl,owl,
item_62,varken,word,animals,understands; produces,varken,pig,pig,
item_63,vis,word,animals,understands; produces,vis,fish (animal),fish,
item_64,vlinder,word,animals,understands; produces,vlinder,butterfly,butterfly,
item_65,vogel,word,animals,understands; produces,vogel,bird,bird,
item_66,vos,word,animals,understands; produces,vos,,fox,
item_67,wolf,word,animals,understands; produces,wolf,wolf,wolf,
item_68,zebra,word,animals,understands; produces,zebra,,zebra,
item_68a,animals_textbox,word,animals,no; yes,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,
item_69,auto,word,vehicles,understands; produces,auto,car,car,
item_70,boot,word,vehicles,understands; produces,boot,boat,boat,
item_71,brandweerwagen,word,vehicles,understands; produces,brandweerwagen/brandweerauto,firetruck,firetruck,
item_72,brommer,word,vehicles,understands; produces,brommer/bromfiets/moto(r)/motorfiets,motorcycle,motorbike,
item_73,buggy,word,vehicles,understands; produces,buggy/koets/kinderwagen,stroller,stroller,
item_74,bulldozer,word,vehicles,understands; produces,bulldozer,,bulldozer,
item_75,bus,word,vehicles,understands; produces,bus,,bus,
item_76,fiets,word,vehicles,understands; produces,fiets,bicycle,bike,
item_77,helicopter,word,vehicles,understands; produces,helicopter,helicopter,helicopter,
item_78,kraan,word,vehicles,understands; produces,kraan (op bouwerf)/hijskraan,,crane,
item_79,slee,word,vehicles,understands; produces,slee,,sled,
item_80,tractor,word,vehicles,understands; produces,tractor,tractor,tractor,
item_81,tram,word,vehicles,understands; produces,tram,,tram,
item_82,trein,word,vehicles,understands; produces,trein,train,train,
item_83,vliegtuig,word,vehicles,understands; produces,vliegtuig,airplane,airplane,
item_84,vrachtwagen,word,vehicles,understands; produces,vrachtwagen/camion/vrachtauto,truck,camion,
item_85,ziekenwagen,word,vehicles,understands; produces,ziekenwagen/ambulance/ziekenauto,,ambulance,
item_85a,vehicles_textbox,word,vehicles,no; yes,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,
item_86,bal,word,toys,understands; produces,bal,ball,ball,
item_87,ballon,word,toys,understands; produces,ballon,balloon,air balloon,
item_88,blokken,word,toys,understands; produces,blokken,,blocks,
item_89,boek,word,toys,understands; produces,boek,book,book,
item_90,cadeau,word,toys,understands; produces,cadeau(tje),present,present,
item_91,klei,word,toys,understands; produces,klei/plasticine,,play dough,
item_92,kleurpotloden,word,toys,understands; produces,kleurpotloden,,crayons,
item_93,kralen,word,toys,understands; produces,kralen/parels,,beads,
item_94,krijt,word,toys,understands; produces,krijt,,chalk,
item_95,lijm,word,toys,understands; produces,lijm,,glue,
item_96,pen,word,toys,understands; produces,pen/stylo,pen/pencil,pencil,
item_97,pop,word,toys,understands; produces,pop,doll,baby doll,
item_98,potlood,word,toys,understands; produces,potlood,pencil,pencil,
item_99,puzzel,word,toys,understands; produces,puzzel,,puzzle,
item_100,schuim,word,toys,understands; produces,schuim/zeepbellen/bellenblaas*,,bubbles,
item_101,speelgoed,word,toys,understands; produces,speelgoed(je),toy (object),toy,
item_102,spel,word,toys,understands; produces,spel(letje),,game,
item_103,verhaal,word,toys,understands; produces,verhaal,,story,
item_104,vingerverf,word,toys,understands; produces,vingerverf,,finger paint,
item_104a,toys_textbox,word,toys,no; yes,"Voor het item met een *, als uw kind iets anders zegt, kunt u het hier invullen. Als u verdere opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,
item_105,aardappel,word,food_drink,understands; produces,aardappel/patatjes,,potato,
item_106,aardbei,word,food_drink,understands; produces,aardbei(en),,strawberry,
item_107,appel,word,food_drink,understands; produces,appel,apple,apple,
item_108,appelmoes,word,food_drink,understands; produces,appelmoes,,applesauce,
item_109,sinaasappel,word,food_drink,understands; produces,appelsien/sinaasappel,orange (food),orange (fruit),
item_110,banaan,word,food_drink,understands; produces,banaan,banana,banana,
item_111,beschuit,word,food_drink,understands; produces,beschuit(je)/cracotje/crackertje,,cracker,
item_112,boontjes,word,food_drink,understands; produces,boontjes,,green beans,
item_113,boter,word,food_drink,understands; produces,boter,,butter,
item_114,boterham,word,food_drink,understands; produces,boterham,,sandwich,
item_115,brood,word,food_drink,understands; produces,brood,bread,bread,
item_116,cake,word,food_drink,understands; produces,cake,cake,cake,
item_117,chips,word,food_drink,understands; produces,chips,,chips,
item_118,choco,word,food_drink,understands; produces,choco,,nutella,
item_119,chocolade,word,food_drink,understands; produces,chocolade,,chocolate,
item_120,chocomousse,word,food_drink,understands; produces,chocomousse,,chocolate mousse,
item_121,limonade*,word,food_drink,understands; produces,cola/limonade*,,lemonade,
item_122,cornflakes,word,food_drink,understands; produces,cornflakes/muesli,cereal,cereal,
item_123,drankje,word,food_drink,understands; produces,drankje/drinken/blikje*,drink,drink,
item_124,druif,word,food_drink,understands; produces,druif,grapes,grapes,
item_125,ei,word,food_drink,understands; produces,ei,egg,egg,
item_126,erwtjes,word,food_drink,understands; produces,erwtjes,,pea,
item_127,eten,word,food_drink,understands; produces,eten,food,food,
item_128,frietjes,word,food_drink,understands; produces,frieten/frietjes,,french fries,
item_129,fristi,word,food_drink,understands; produces,Fristi/Jogidrink,, yoghurt drink,
item_130,sap,word,food_drink,understands; produces,fruisap/sap,juice,juice,
item_131,jam,word,food_drink,understands; produces,gelei/confituur/jam,,marmalade,
item_132,hagelslag,word,food_drink,understands; produces,hagelslag/muisjes*,,sprinkels,
item_133,hamburger,word,food_drink,understands; produces,hamburger,,hamburger,
item_134,ijs,word,food_drink,understands; produces,ijs/crème/ijsje,ice cream,ice cream,
item_135,ijslolly,word,food_drink,understands; produces,ijslolly/frisco,popsicle,popsicle,
item_136,kaas,word,food_drink,understands; produces,kaas,cheese,cheese,
item_137,kauwgom,word,food_drink,understands; produces,kauwgom*,,chewing gum,
item_138,kip,word,food_drink,understands; produces,kip,chicken (food),chicken,
item_139,koekje,word,food_drink,understands; produces,koekje,cookie,cookie,
item_140,koffie,word,food_drink,understands; produces,koffie/thee,coffee,coffee,
item_141,komkommer,word,food_drink,understands; produces,komkommer,,cucumber,
item_142,kroketjes,word,food_drink,understands; produces,kroketjes/gebakken aardappeltjes,,fried potatoes,
item_143,lolly,word,food_drink,understands; produces,lolly/lekstok,lollipop,lollipop,
item_144,melk,word,food_drink,understands; produces,melk,milk,milk,
item_145,meloen,word,food_drink,understands; produces,meloen,,melon,
item_146,nootjes,word,food_drink,understands; produces,nootjes,,nuts,
item_147,pannenkoek,word,food_drink,understands; produces,pannenkoek,,pancake,
item_148,pap,word,food_drink,understands; produces,pap,atole,porridge,
item_149,peer,word,food_drink,understands; produces,peer,,pear,
item_150,danoontje,word,food_drink,understands; produces,Petit Gervais (platte kaas)/Danoontje,,pudding type,
item_151,pizza,word,food_drink,understands; produces,pizza,,pizza,
item_152,popcorn,word,food_drink,understands; produces,popcorn,,popcorn,
item_153,pudding,word,food_drink,understands; produces,pudding,,pudding,
item_154,puree,word,food_drink,understands; produces,puree,,mashed potatoes,
item_155,rijst,word,food_drink,understands; produces,rijst,rice,rice,
item_156,rozijntjes,word,food_drink,understands; produces,rozijntjes,,raisins,
item_157,sandwich,word,food_drink,understands; produces,sandwich/pislolet/broodje/kadetje,,sandwich,
item_158,saus,word,food_drink,understands; produces,saus,,sauce,
item_159,snoep,word,food_drink,understands; produces,snoep(je),candy,sweet candy,
item_160,soep,word,food_drink,understands; produces,soep,soup,soup,
item_161,spaghetti,word,food_drink,understands; produces,spaghetti,,spaghetti,
item_162,stokbrood,word,food_drink,understands; produces,stokbrood,,baguette,
item_163,suiker,word,food_drink,understands; produces,suiker,,sugar,
item_164,taart,word,food_drink,understands; produces,taart,pie,pie,
item_165,toast,word,food_drink,understands; produces,toast/geroosterd brood,,toast,
item_166,vis,word,food_drink,understands; produces,vis,,fish (food),
item_167,vitamientjes,word,food_drink,understands; produces,vitamientjes,,vitamin,
item_168,vlees,word,food_drink,understands; produces,vlees,,meat,
item_169,water,word,food_drink,understands; produces,water,water (beverage),water,
item_170,worst,word,food_drink,understands; produces,worst,,sausage,
item_171,wortel,word,food_drink,understands; produces,wortel(tjes),,carrot,
item_172,yoghurt,word,food_drink,understands; produces,yoghurt/platte kaas/kaas*,,yogurt,
item_173,zout,word,food_drink,understands; produces,zout,,salt,
item_173a,food_drink_textbox,word,food_drink,no; yes,"Voor de items met een *, als uw kind iets anders zegt, kunt u het hier invullen. Als u verdere opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,
item_174,ketting,word,clothing,understands; produces,(hals)ketting,necklace,necklace,
item_175,handschoenen,word,clothing,understands; produces,handschoenen/wanten,,gloves,
item_176,hemd,word,clothing,understands; produces,hemd/bloes,shirt,shirt,
item_177,hoed,word,clothing,understands; produces,hoed,hat,hat,
item_178,jas,word,clothing,understands; produces,jas,,coat,
item_179,jeans,word,clothing,understands; produces,jeans(broek)/spijkerbroek,,jeans,
item_180,jurkje,word,clothing,understands; produces,kleedje/jurkje,dress,dress,
item_181,knoop,word,clothing,understands; produces,knoop,button,button,
item_182,sok,word,clothing,understands; produces,kous/sok,sock,sock,
item_183,maillot,word,clothing,understands; produces,kousebroek/collants/maillot,tights,tights,
item_184,laarsjes,word,clothing,understands; produces,laarsjes/botjes,boots,boots,
item_185,broek,word,clothing,understands; produces,(lange)broek,pants,pants,
item_186,luier,word,clothing,understands; produces,luier/pamper,diaper,diaper,
item_187,muts,word,clothing,understands; produces,muts,hat,hat,
item_188,onderbroek,word,clothing,understands; produces,onderbroek(je)/slipje/broekje,underpants,underpants,
item_189,onderhemd,word,clothing,understands; produces,onderhemd(je),top,top,
item_190,pantoffels,word,clothing,understands; produces,pantoffels/slofjes,,slipper,
item_191,pet,word,clothing,understands; produces,pet,,cap,
item_192,pyjama,word,clothing,understands; produces,pyjama/slaapkleed/nachtjapon,pajamas,pajamas,
item_193,riem,word,clothing,understands; produces,riem,,belt,
item_194,rits,word,clothing,understands; produces,rits*,zipper,zipper,
item_195,schoen,word,clothing,understands; produces,schoen,shoe,shoe,
item_196,short,word,clothing,understands; produces,short/korte broek,shorts,shorts,
item_197,sjaal,word,clothing,understands; produces,sjaal/das,,scarf,
item_198,slabbetje,word,clothing,understands; produces,slabbertje/bavet,bib,bib,
item_199,trui,word,clothing,understands; produces,trui/sweater/pull,sweater,sweater,
item_200,tshirt,word,clothing,understands; produces,T-shirt,t-shirt,t-shirt,
item_201,tut,word,clothing,understands; produces,tut(je)/(fop)speen,pacifier,pacifier,
item_202,zwembroek,word,clothing,understands; produces,zwembroek/zwempak/badpak*,,swimwear,
item_202a,clothing_textbox,word,clothing,no; yes,"Voor de items met een *, als uw kind iets anders zegt, kunt u het hier invullen. Als u verdere opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,
item_203,arm,word,body_parts,understands; produces,arm,arm,arm,
item_204,been,word,body_parts,understands; produces,been,leg,legs,
item_205,billen,word,body_parts,understands; produces,billen/poep,,buttocks,
item_206,borst,word,body_parts,understands; produces,borst,breast,breast,
item_207,buik,word,body_parts,understands; produces,buik,tummy,belly,
item_208,duim,word,body_parts,understands; produces,duim,tumb,tumb,
item_209,enkel,word,body_parts,understands; produces,enkel,,ankle,
item_210,gezicht,word,body_parts,understands; produces,gezicht,face,face,
item_211,haar,word,body_parts,understands; produces,haar,hair,hair,
item_212,hand,word,body_parts,understands; produces,hand,hand,hand,
item_213,hoofd,word,body_parts,understands; produces,hoofd,head,head,
item_214,kin,word,body_parts,understands; produces,kin,chin,chin,
item_215,knie,word,body_parts,understands; produces,knie,knee,knee,
item_216,lippen,word,body_parts,understands; produces,lippen,,lips,
item_217,mond,word,body_parts,understands; produces,mond,mouth,mouth,
item_218,nagel,word,body_parts,understands; produces,nagel,,finger nail,
item_219,navel,word,body_parts,understands; produces,navel,belly button,belly button,
item_220,nek,word,body_parts,understands; produces,nek/hals,,neck,
item_221,neus,word,body_parts,understands; produces,neus,nose,nose,
item_222,oog,word,body_parts,understands; produces,oog,eye,eyes,
item_223,oor,word,body_parts,understands; produces,oor,ear,ear,
item_224,piemel,word,body_parts,understands; produces,piemel/plasser*,penis,penis,
item_225,rug,word,body_parts,understands; produces,rug,,back,
item_226,schouder,word,body_parts,understands; produces,schouder,,shoulder,
item_227,tanden,word,body_parts,understands; produces,tanden,tooth,teeth,
item_228,teen,word,body_parts,understands; produces,teen,,toe,
item_229,tong,word,body_parts,understands; produces,tong,tongue,tongue,
item_230,vagina,word,body_parts,understands; produces,vagina/spleetje*,vagina,vagina,
item_231,vinger,word,body_parts,understands; produces,vinger,finger,finger,
item_232,voeten,word,body_parts,understands; produces,voeten,foot,feet,
item_233,wang,word,body_parts,understands; produces,wang/kaak,cheek,cachete,
item_233a,body_parts_textbox,word,body_parts,no; yes,"Voor de items met een *, als uw kind iets anders zegt, kunt u het hier invullen. Als u verdere opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,
item_234,bord,word,household,understands; produces,bord,plate,dish,
item_235,bezem,word,household,understands; produces,borstel/bezem/veger,broom,broom,
item_236,bril,word,household,understands; produces,bril,glass,glasses,
item_237,camera,word,household,understands; produces,camera/fototoestel,,camera,
item_238,computer,word,household,understands; produces,computer,,computer,
item_239,deken,word,household,understands; produces,deken/dekbed,blanket,blanket,
item_240,doos,word,household,understands; produces,doos,box,box,
item_241,dweil,word,household,understands; produces,dweil,,mop,
item_242,emmer,word,household,understands; produces,emmer,,bucket,
item_243,fles,word,household,understands; produces,fles,bottle,bottle,
item_244,foto,word,household,understands; produces,foto,photo,photo,
item_245,geld,word,household,understands; produces,geld/centen/centjes,money,money,
item_246,glas,word,household,understands; produces,glas,,glass,
item_247,hamer,word,household,understands; produces,hamer,hammer,hammer,
item_248,handdoek,word,household,understands; produces,handdoek,towel,towel,
item_249,kam,word,household,understands; produces,kam/borstel,comb (object),hair comb,
item_250,kan,word,household,understands; produces,kan,,jug,
item_251,kom,word,household,understands; produces,kom/schaal,,bowl,
item_252,krant,word,household,understands; produces,krant,,newspaper,
item_253,kussen,word,household,understands; produces,kussen,pillow,pillow,
item_254,lamp,word,household,understands; produces,lamp/licht,,lamp,
item_255,lepel,word,household,understands; produces,lepel,spoon,spoon,
item_256,mand,word,household,understands; produces,mand(je)/korf,,basket,
item_257,medicijn,word,household,understands; produces,"medicijn(en) (siroop, pilletje, drankje)/medicament",medicine,medicine,
item_258,mes,word,household,understands; produces,mes,knife,knife,
item_259,nagel,word,household,understands; produces,nagel,,nail,
item_260,plakband,word,household,understands; produces,plakband/tape,,tape,
item_261,plant,word,household,understands; produces,plant,plant,plant,
item_262,portemonnee,word,household,understands; produces,portemonnee/portefeuille,,wallet,
item_263,pot,word,household,understands; produces,pot,,pot,
item_264,radio,word,household,understands; produces,radio,radio,radio,
item_265,rommel,word,household,understands; produces,rommel,,mess,
item_266,schaar,word,household,understands; produces,schaar,scissors,pair of scissors,
item_267,schilderij,word,household,understands; produces,schilderij,painting,painting,
item_268,servet,word,household,understands; produces,servet,,napkin,
item_269,shampoo,word,household,understands; produces,shampoo,,shampoo,
item_270,sleutel,word,household,understands; produces,steutel(s),keys,key,
item_271,spaarpot,word,household,understands; produces,spaarpot/spaarvarken*,, piggy bank,
item_272,stofzuiger,word,household,understands; produces,stofzuiger,vacuum,vacuum cleaner,
item_273,tandenborstel,word,household,understands; produces,tandenborstel,toothbrush,toothbrush,
item_274,kop,word,household,understands; produces,tas/kop(je)/beker,cup,cup,
item_275,tekening,word,household,understands; produces,tekening/prent,picture,picture,
item_276,telefoon,word,household,understands; produces,telefoon,telephone,phone,
item_277,horloge,word,household,understands; produces,uurwerk/klok/horloge,watch (object),watch,
item_278,video,word,household,understands; produces,video,,video,
item_279,vork,word,household,understands; produces,vork,fork,fork,
item_280,vuilbak,word,household,understands; produces,vuilbak/vuilnisemmer,trash,garbage can,
item_281,vuilnis,word,household,understands; produces,vuilnis/afval,,garbage,
item_282,vuur,word,household,understands; produces,vuur,,fire,
item_283,washandje,word,household,understands; produces,washandje*,, wash cloth,
item_284,zakdoek,word,household,understands; produces,zakdoek (papier),,handkerchief,
item_285,zeep,word,household,understands; produces,zeep,soap,soap,
item_285a,household_textbox,word,household,no; yes,"Voor de items met een *, als uw kind iets anders zegt, kunt u het hier invullen. Als u verdere opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,
item_286,box,word,furniture_rooms,understands; produces,(baby)box/park,,playpen,
item_287,bad,word,furniture_rooms,understands; produces,bad,bathtub,tub,
item_288,badkamer,word,furniture_rooms,understands; produces,badkamer,bathroom,bath,
item_289,bed,word,furniture_rooms,understands; produces,bed,bed,bed,
item_290,deur,word,furniture_rooms,understands; produces,deur,door,gate,
item_291,douche,word,furniture_rooms,understands; produces,douche,shower,shower,
item_292,droogtrommel,word,furniture_rooms,understands; produces,droogkast/droogtrommel,,tumble dryer,
item_293,garage,word,furniture_rooms,understands; produces,garage,garage,garage,
item_294,gootsteen,word,furniture_rooms,understands; produces,gootsteen/afwasbak,sink,sink,
item_295,kachel,word,furniture_rooms,understands; produces,kachel/open haard*,,fireplace,
item_296,kamer,word,furniture_rooms,understands; produces,kamer,,room,
item_297,kast,word,furniture_rooms,understands; produces,kast,closet,closet,
item_298,kelder,word,furniture_rooms,understands; produces,kelder,,basement,
item_299,keuken,word,furniture_rooms,understands; produces,keuken,kitchen,kitchen room,
item_300,kinderstoel,word,furniture_rooms,understands; produces,kinderstoel,,high chair,
item_301,koelkast,word,furniture_rooms,understands; produces,koelkast/frigo/ijskast/diepvries,refrigerator,refrigerator,
item_302,lade,word,furniture_rooms,understands; produces,lade/schuif,drawer,drawer,
item_303,oven,word,furniture_rooms,understands; produces,oven,oven,oven,
item_304,potje,word,furniture_rooms,understands; produces,potje,potty,potty,
item_305,schommelstoel,word,furniture_rooms,understands; produces,schommelstoel,,rocking chair,
item_306,slaapkamer,word,furniture_rooms,understands; produces,slaapkamer,bedroom,bedroom,
item_307,spiegel,word,furniture_rooms,understands; produces,spiegel,mirror,mirror,
item_308,stoel,word,furniture_rooms,understands; produces,stoel,chair,chair,
item_309,tafel,word,furniture_rooms,understands; produces,tafel,table,table top,
item_310,terras,word,furniture_rooms,understands; produces,terras,,terrace,
item_311,trap,word,furniture_rooms,understands; produces,trap(pen),stairs,stairs,
item_312,televisie,word,furniture_rooms,understands; produces,TV/televisie,tv,television,
item_313,raam,word,furniture_rooms,understands; produces,venster/raam,window,window,
item_314,balkon,word,furniture_rooms,understands; produces,veranda/balkon,,balcony,
item_315,toilet,word,furniture_rooms,understands; produces,W.C./toilet,,toilet,
item_316,wasmachine,word,furniture_rooms,understands; produces,wasmachine,,washing machine,
item_317,wieg,word,furniture_rooms,understands; produces,wieg,crib,crib,
item_318,woonkamer,word,furniture_rooms,understands; produces,woonkamer/living/huiskamer,living room,living room,
item_319,bank,word,furniture_rooms,understands; produces,zetel/divan/sofa/bank,couch,sofa,
item_319a,furniture_rooms_textbox,word,furniture_rooms,no; yes,"Voor het item met een *, als uw kind iets anders zegt, kunt u het hier invullen. Als u verdere opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,
item_320,bloem,word,outside,understands; produces,bloem,flower,flower,
item_321,boom,word,outside,understands; produces,boom,tree,tree,
item_322,dak,word,outside,understands; produces,dak,roof,ceiling,
item_323,gieter,word,outside,understands; produces,gieter,watering can,watering can,
item_324,glijbaan,word,outside,understands; produces,glijbaan/schuifaf,slide (object),slide,
item_325,gras,word,outside,understands; produces,gras,,grass,
item_326,grasmaaier,word,outside,understands; produces,grasmachine/grasmaaier,,lawn mower,
item_327,ladder,word,outside,understands; produces,ladder,,ladder,
item_328,lucht,word,outside,understands; produces,lucht/hemel,sky,sky,
item_329,maan,word,outside,understands; produces,maan,moon,moon,
item_330,regen,word,outside,understands; produces,regen,rain,rain,
item_331,schommel,word,outside,understands; produces,schommel,swing (object),swing,
item_332,schop,word,outside,understands; produces,schop/schup/schepje,,shovel,
item_333,sneeuw,word,outside,understands; produces,sneeuw,snow,snow,
item_334,sneeuwman,word,outside,understands; produces,sneeuwman/sneeuwpop,,snowman,
item_335,steen,word,outside,understands; produces,steen/kei/kiezelsteen,rock (object),stone,
item_336,ster,word,outside,understands; produces,ster,star,star,
item_337,stoep,word,outside,understands; produces,stoep/trottoir,,sidewalk,
item_338,stok,word,outside,understands; produces,stok,,stick,
item_339,straat,word,outside,understands; produces,straat,street,street,
item_340,tuinslang,word,outside,understands; produces,tuinslang/waterslang,,hose,
item_341,vlag,word,outside,understands; produces,vlag,,flag,
item_342,water,word,outside,understands; produces,water,,water,
item_343,wind,word,outside,understands; produces,wind,,wind,
item_344,wolk,word,outside,understands; produces,wolk,cloud,cloud,
item_345,zandbak,word,outside,understands; produces,zandbak,,sandpit,
item_346,zon,word,outside,understands; produces,zon,sun,sun,
item_347,zwembad,word,outside,understands; produces,zwembad,pool,pool,
item_347a,outside_textbox,word,outside,no; yes,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,
item_348,bakker,word,places,understands; produces,bakker,,bakery,
item_349,boerderij,word,places,understands; produces,boerderij,,farm,
item_350,bos,word,places,understands; produces,bos,,forest,
item_351,buiten,word,places,understands; produces,buiten,,outside,
item_352,camping,word,places,understands; produces,camping,,camping,
item_353,circus,word,places,understands; produces,circus,,circus,
item_354,kinderdagverblijf,word,places,understands; produces,crèche/kinderdagverblijf*,,daycare,
item_355,dierentuin,word,places,understands; produces,dierentuin/zoo,,zoo,
item_356,feest,word,places,understands; produces,feest(je),,party,
item_357,film,word,places,understands; produces,film,,movie theater,
item_358,werk,word,places,understands; produces,het werk van ...,,work,
item_359,huis,word,places,understands; produces,huis,,house,
item_360,kerk,word,places,understands; produces,kerk,,church,
item_361,park,word,places,understands; produces,park,,park,
item_362,picknick,word,places,understands; produces,picknick,,picnic,
item_363,school,word,places,understands; produces,school,,school,
item_364,slager,word,places,understands; produces,slager,,butcher,
item_365,speeltuin,word,places,understands; produces,speeltuin,,playground,
item_366,tankstation,word,places,understands; produces,tankstation/pompstation,,gas station,
item_367,thuis,word,places,understands; produces,thuis,,home,
item_368,tuin,word,places,understands; produces,tuin,,garden,
item_369,winkel,word,places,understands; produces,winkel,,store,
item_370,zee,word,places,understands; produces,zee/strand,,beach,
item_370a,places_textbox,word,places,no; yes,"Voor het item met een *, als uw kind iets anders zegt, kunt u het hier invullen. Als u verdere opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,
item_371,baby,word,people,understands; produces,baby,baby,baby,
item_372,babysitter,word,people,understands; produces,babysitter,babysitter,babysitter,
item_373,brandweerman,word,people,understands; produces,brandweerman,,fireman,
item_374,broer,word,people,understands; produces,broer(tje),brother,brother,
item_375,clown,word,people,understands; produces,clown/Pippo,,clown,
item_376,cowboy,word,people,understands; produces,cowboy,,cowboy,
item_377,dokter,word,people,understands; produces,dokter,,doctor,
item_378,persoon,word,people,understands; produces,een persoon,person,person,
item_379,jongen,word,people,understands; produces,jongen,boy,boy,
item_380,meester,word,people,understands; produces,juf(frouw)/meester,teacher,teacher,
item_381,kind,word,people,understands; produces,kind(je),,child,
item_382,mama,word,people,understands; produces,mama*,mommy,mommy,
item_383,meisje,word,people,understands; produces,meisje,girl,girl,
item_384,meneer,word,people,understands; produces,meneer,man,man,
item_385,mensen,word,people,understands; produces,mensen,,people,
item_386,mevrouw,word,people,understands; produces,mevrouw,woman,woman,
item_387,naambabysitter,word,people,understands; produces,naam van babysitter,,babysitter's name,
